"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Can you share more about these topics?","reviewContext/Difficulty","reviewContext/Dog-friendliness","reviewContext/Fees","reviewContext/Parking","reviewContext/Parking options","reviewContext/Parking space","reviewContext/Picnic area","reviewContext/Playground","reviewContext/Public Transportation","reviewContext/Recommended activities","reviewContext/Restrooms","reviewContext/Route type","reviewContext/Time spent","reviewId","reviewUrl","reviewOrigin","reviewerId","stars","state","text","title","url"
"Cianjur Regency","ID","-6.7770239","106.9746474","Ferdi Mondial","2023-12-29T09:32:33.237Z",,"Hard",,,,,,,,,"Hiking",,"Point-to-Point","4+ hr","ChdDSUhNMG9nS0VJQ0FnSUMxMXBTVjRBRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxMXBTVjRBRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIC11pSV4AE%7CCgsIsaS6rAYQ-MapcQ%7C?hl=en","Google","113978592714480842713","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","bambang ngesti wibowo","2023-12-21T07:07:58.978Z",,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUMxOFBiS1RBEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxOFBiS1RBEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIC18PbKTA%7CCgwIzsiPrAYQkPOw0gM%7C?hl=en","Google","117273533211827811824","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Deni Setiawan","2023-11-28T09:12:37.552Z",,"Moderate",,,,,,,,,"Hiking",,"Out-and-Back","Less than 1 hr","ChZDSUhNMG9nS0VJQ0FnSUNseF9hekFnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNseF9hekFnEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIClx_azAg%7CCgwIhd6WqwYQqM2qhwI%7C?hl=en","Google","102100118664687773933","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Aminudin","2023-11-21T03:57:13.362Z",,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNsOFlyMEVnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsOFlyMEVnEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgICl8Yr0Eg%7CCgwImdXwqgYQyN_vrAE%7C?hl=en","Google","104539975250157439959","4","West Java","tempat ngecamp sebelum ke puncak Gn.Gede atau Gn.Pangrango ada Toilet lampu tenaga surya sayang Musholanya Rusak","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Rohmat Abdulloh","2023-11-06T10:23:50.565Z",,,,,,,,,,,"Hiking",,,,"ChdDSUhNMG9nS0VJQ0FnSURGLXFxOGd3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGLXFxOGd3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDF-qq8gwE%7CCgwItv2iqgYQiKHGjQI%7C?hl=en","Google","111504848403241581748","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Tri Utami","2023-10-24T19:58:50.666Z",,"Hard",,,,,,,,,"Hiking",,"Out-and-Back","4+ hr","ChZDSUhNMG9nS0VJQ0FnSUQ1bnBlRk9REAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1bnBlRk9REAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgID5npeFOQ%7CCgwI-sPgqQYQ2LqDvgI%7C?hl=en","Google","108446730599890408480","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Alpha mike","2023-10-10T03:17:36.732Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUM1bU1fc25RRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1bU1fc25RRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIC5mM_snQE%7CCgwI0ISTqQYQ6Iuj3QI%7C?hl=en","Google","113947830060645881687","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","RAHMAT WIJAYA","2023-09-23T18:42:34.325Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURabUxHcXB3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURabUxHcXB3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDZmLGqpwE%7CCgwImuO8qAYQ0PiAmwE%7C?hl=en","Google","108468137535925932597","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Riffan Aqil Ferdiansyah","2023-09-21T15:44:22.830Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNaX19yYjdnRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaX19yYjdnRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgICZ__rb7gE%7CCgwI1smxqAYQoKyQjAM%7C?hl=en","Google","109255560414994242287","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","dede ridwan","2023-08-21T06:13:25.931Z",,"Hard",,,,,,,,,"Hiking",,"Point-to-Point","4+ hr","ChZDSUhNMG9nS0VJQ0FnSURwcHEzWUxBEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwcHEzWUxBEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDppq3YLA%7CCgwIhYGMpwYQ4MCLvAM%7C?hl=en","Google","108352805806450233345","4","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
