reviewId,nama_gunung,text,stars,name
ChZDSUhNMG9nS0VJQ0FnTURRZ3ZxSlhBEAE,gunung ciremai,Pas dapet cerahhh....,5,R I
ChdDSUhNMG9nS0VJQ0FnSUN1enU2MW9RRRAB,gunung ciremai,gunung tertinggi di jawa barat,4,Rully Hiking Stories
ChdDSUhNMG9nS0VJQ0FnTURna1l5eG9RRRAB,gunung ciremai,,5,6_ Muhammad Syahdan Gusti Abdillah Pratama
ChdDSUhNMG9nS0VJQ0FnTURBdlp6bnFRRRAB,gunung ciremai,"Jangan lewat sadarehe, mahal banget simaksinya gila, 200k.",5,Dava Budiharto
ChdDSUhNMG9nS0VJQ0FnTURBM2FDZGpBRRAB,gunung ciremai,"it was a wonderful adventure!
I was there about 6 months ago!",5,Iyang Trisna Nurdianti
ChZDSUhNMG9nS0VJQ0FnTURBeGR6bVNnEAE,gunung ciremai,,5,Rasya Fahmi Fadilah
ChdDSUhNMG9nS0VJQ0FnTURBcHJHNjhRRRAB,gunung ciremai,,5,Cico Itelia
ChZDSUhNMG9nS0VJQ0FnTURBMElfaWVBEAE,gunung ciremai,PENGALAMAN YANG SANGAT BERKESAN,5,Pustarboy
ChdDSUhNMG9nS0VJQ0FnTUNBczdMdnpnRRAB,gunung ciremai,,5,Andi Mochammad Fadhil
ChZDSUhNMG9nS0VJQ0FnTUNBemM3RFFREAE,gunung ciremai,,5,Bangkit eliyanto
ChZDSUhNMG9nS0VJQ0FnTUNBeGJtZ0RnEAE,gunung ciremai,Sangat menakjubkan,5,Safrudin
ChdDSUhNMG9nS0VJQ0FnTUNBMFp6QXJBRRAB,gunung ciremai,,4,Sapto Dewo
ChdDSUhNMG9nS0VJQ0FnTUNBNXJIbGtBRRAB,gunung ciremai,,5,megawati sasue
ChZDSUhNMG9nS0VJQ0FnTUNBblB1MVhREAE,gunung ciremai,,5,Argatha mhelas Fradhana
ChdDSUhNMG9nS0VJQ0FnTUNBdUtqLWdRRRAB,gunung ciremai,,5,Dian Ahyar
ChZDSUhNMG9nS0VJQ0FnSURfa0ttSVBnEAE,gunung ciremai,,5,pirmanudin pipin
ChZDSUhNMG9nS0VJQ0FnSUNfMmZtakx3EAE,gunung ciremai,,5,Atha Satria
ChdDSUhNMG9nS0VJQ0FnSUNfZ3BqYWhBRRAB,gunung ciremai,,5,Aril Setiawan
ChZDSUhNMG9nS0VJQ0FnSUNfOUp1Y1h3EAE,gunung ciremai,,5,Nur Alifia
ChZDSUhNMG9nS0VJQ0FnSURmdjluSUVREAE,gunung ciremai,Mantap,4,Kukuh Anggita
