Topic,Count,Name,Representation,Representative_Docs
55,35,55_abdi_br_kapok_smpat,"['abdi', 'br', 'kapok', 'smpat', 'ajip', 'tapak', 'kesini', 'gerot', 'berucap', 'urus']","['garut br kmrn br smpat x beturut kesana smpat mngu br sesampainya bs berucap bs berucap masyalah alah maha alah maha eksotik pemandanganya', 'atasnya kecurugnya bagus sih cuman ngak tukang dagang kali yauntuk akses jalan lezat kasih batu batu alami banget buktinya monyet monyet turun pas jala n cuman kawatir monyetnya galak ko bawa makanan kantong baju pokoknya jos', 'pemandangan na alus na abdi mh teu kedah ka puncak bumi da sok kana genteng da caket bumi abdi mung abdi mh goalpara sukabumi katingal']"
56,34,56_pemandanganya_pemandangan_terbayar_memanjakan,"['pemandanganya', 'pemandangan', 'terbayar', 'memanjakan', 'aprove', 'jurasic', 'hiu', 'ngedakinya', 'wagelaseh', 'amaris']","['pemandangan memanjakan mata', 'lelah terbayar pemandangan puncak', 'pemandangan hotel amaris pakuan bogorsejuk']"
57,34,57_photo_indah_mudah_pendakian,"['photo', 'indah', 'mudah', 'pendakian', 'pemandanganya', 'lajur', 'cocol', 'health', 'buper', 'apalahi']","['indah pendaki pemula apalahi spot photo', 'pemandanganya keren jalur mendakinya bagus kuat ojek mengantar spot photo takut kehabisan logistik warung', 'nice place hiking trail tracking also god health air fresh go mount direction chose kawah ratu going post']"
58,34,58_terbaik_best_pokoknya_pengiriman,"['terbaik', 'best', 'pokoknya', 'pengiriman', 'relaksasi', 'wijaya', 'unit', 'merenung', 'niaga', 'arvitrans']","['best', 'edelweis terbaik', 'terbaik bagus']"
59,33,59_udaranya_udara_sejuk_dingin,"['udaranya', 'udara', 'sejuk', 'dingin', 'adem', 'udaranyacitra', 'merindukanmu', 'banyal', 'sayangat', 'udaranyasri']","['udaranya sejuk indah banget', 'udaranya sejuk banget', 'udaranya sejuk']"
60,33,60_sejuk_indah_dingin_bagusejukdingin,"['sejuk', 'indah', 'dingin', 'bagusejukdingin', 'menyenangan', 'dinginy', 'selpiy', 'sejukdingin', 'yanh', 'spoky']","['indah sejuk', 'indah sejuk', 'indah sejuk']"
61,33,61_samudra_awan_awanya_lautan,"['samudra', 'awan', 'awanya', 'lautan', 'samudera', 'diatas', 'kitab', 'krispy', 'brow', 'ocean']","['mantap samudra awan', 'pemandangan indah samudra awan', 'samudra awan']"
62,32,62_menakjubkan_amazing_great_pemandangan,"['menakjubkan', 'amazing', 'great', 'pemandangan', 'exps', 'placeawesome', 'indahdiselimuti', 'chiling', 'magnificent', 'dibeli']","['pemandangan menakjubkan', 'pemandangan menakjubkan', 'pemandangan menakjubkan']"
63,32,63_surya_kencana_alun_cantik,"['surya', 'kencana', 'alun', 'cantik', 'keindahanya', 'medium', 'ladang', 'level', 'bahagia', 'kentang']","['surya kencana indah', 'surya kencana indah', 'indah banget alun surya kencana']"
64,32,64_awan_negeri_lautan_lunas,"['awan', 'negeri', 'lautan', 'lunas', 'hujan', 'samudra', 'terkenal', 'awanya', 'kabupaten', 'gunung']","['gunung indah puncaknya negeri awan treknya menantang terjal bonus sumber mata air', 'gunung indah puncaknya negeri awan treknya menantang terjal bonus sumber mata air', 'gunung negeri diatas awan orang mendaki berpendapat lelah mendaki berselfie menurutku beda gunung negeri diatas awan menikmati proses betapa lelahnya kepuncak keluhan menarik menikmati hasilnya']"
