Topic,Count,Name,Representation,Representative_Docs
-1,2597,-1_camping_camp_pemandangan_gunung,"['camping', 'camp', 'pemandangan', 'gunung', 'warung', 'pos', 'jam', 'air', 'puncak', 'jalur']","['pemandangan alam bagus gunung cocok pendaki pemula', 'kamis juli kali berkunjung twa berubah singkat cerita kali keluarga berencana menikmati memperkenalkan mengedukasi twa rencana membawa carier camp pondok salada berubah camp area camp basecamp terfikir dicapai tektok sat sehinga mengendong peralatan fasilitas basecamp lengkap terfikir membawa anak berangkat jakarta jam malam kaki gunung jam subuh berhenti masjid agung cisurupan istirahat sholat subuh masjid pasar tradisional ramai pagi membeli logistik sarapan jam berangkat basecamp tiketing buka jam pagi dibawah jam pagi kendaran dilarang masuk menungu gapura tiketing infonya fasilitas ruang tungu toilet akses harga tiket masuk lupa kisaran rporg tsb camp anak usia dibawah fre warung sat kamis jumat pagi sd sore malam buka toko penyewan alat outdor buka sd pagi tempatnya camp lumayan luas fasilitas lengkap mushola toilet bersih area camp airnya hangat akses jalan kaki bagus spot camp penerangan lampu taman pemandian air panas belerang harga tiket rp butuh efort membawa barang parkir', 'mengunjungi gunung juli mingun lebaran haji terletak kecamatan cisurupan lurus jalan langsung arah gunung khawatir informasi spanduk kawasan gunung masuk jalanya nanya orang dideskripsikan jalan raya ambil jalan lurusnya arah arah garut kota kecepatan kmjam nyampe jam disarankan isi bensin kendaran mengunakan kendaran pribadi garut kota motor isi bensin spbu pom bensin sanding pertamax pertalite premium pom bensin kendaran mengunakan elf minibus sat turun jalan raya kawasan gunungnya ojek harha ojeknya lumayan menguras budget jalan kawasan gunung melewati rumah warga jalanya bagus aspal mendekati kawasan gunung home stay menginap sat masuk gerbang utama langsung bayar tiket orang dihitung rp kendaran motor dihitung rp boncengan motor bayar rp pulang pergi ptektoktidak menginaptidak camp bayar dicek suhu tubuh petugasnya sekedar informasi warga lokal kabupaten garut salah pengunjung berencana ngecamp surat keterangan sehat berubah kebijakan pengelola cari tau ya pas kesana tiket gerbang dibukakan parkiran parkir motor bayar helm dititipkan penitipan helm mengunakan karcis pengambilan helm sat pulangnya ilang karcisnya sat perjalanan beristitahat saungsaung camping ground pondok saladah mushola toilet air melimpah sat musim kemarau airnya dingin asli deh bong warungwarung harganya masuk akal jalan hutan mati perjalanan santai lumayan istirahat jalan hutan mati tanga konsekuensi panas terik langsung matahari jalur terbuka tertutup vegetasi jalur hutan terbaik jalur normal jalur terjal hutan mati hutan jalur normal melewati sungai sempet fotofoto disanan selamat oh iya seriap poswarungmushola penjaganya stand disana ngecamp tektok ya tingal wcnya bersih musholanya nyaman taman edelweis taman bermain menara pandang parkiran luas motor mobil tokowarung makan tempar menjual merchandise sayang pandemi tutup semoga pandeminya cepet']"
0,332,0_mantap_seru_kangen_treknya,"['mantap', 'seru', 'kangen', 'treknya', 'rindu', 'penat', 'alah', 'masyalah', 'pengen', 'candu']","['treknya mantap', 'mantap treknya', 'mantap banget']"
1,248,1_gunung_indah_mountain_pemandangan,"['gunung', 'indah', 'mountain', 'pemandangan', 'keindahan', 'mendaki', 'merasakan', 'alam', 'pesona', 'gunungnya']","['gunung pemandangan bagus indah', 'pemandangan gunung indah', 'pemandangan gunung indah']"
2,208,2_gunung_yok_keturutan_mantap,"['gunung', 'yok', 'keturutan', 'mantap', 'umat', 'tertingi', 'puncak', 'garut', 'puji', 'gunungnya']","['yok yok puji tuhan keturutan mendaki gunung', 'yok yok puji tuhan keturutan mendaki gunung', 'yok yok puji tuhan keturutan mendaki gunung']"
3,124,3_indah_cantik_keindahan_indahnya,"['indah', 'cantik', 'keindahan', 'indahnya', 'hakiki', 'beautiful', 'menjamah', 'rasakan', 'saking', 'keindahanya']","['indah banget', 'indah banget', 'indah indah']"
4,102,4_kabupaten_kawah_kawasan_memiliki,"['kabupaten', 'kawah', 'kawasan', 'memiliki', 'nasional', 'gunung', 'jawa', 'taman', 'wilayah', 'terletak']","['gunung ceremai seringkali salah kaprah dinamakan aksara sunda baku latin gunung cerem gunung berapi kerucut administratif wilayah kabupaten kabupaten kuningan kabupaten majalengka provinsi jawa barat posisi geografis puncaknya terletak ls bt ketingian permukan laut gunung gunung tertingi jawa barat gunung gunung ceremai arah cigugur kuningan titik tertingi ketingian ft puncak ft masuk daftar ultra ribu kordinat e e geografi gunung jawa barat indonesia geologi jenis gunung stratovolcano letusan maret pendakian rute termudah palutungan rute normal apuy lingarjati lingasana gunung ceremai jalan tol cikopopalimanan arah cirebon gunung ceremai desa loji kecamatan jatiwangi kabupaten majalengka careme abad foto koleksi tropenmuseum amsterdam gunung memiliki kawah ganda kawah barat beradius terpotong kawah timur beradius ketingian dpl lereng selatan bekas titik letusan dinamakan gowa walet ceremai kawasan taman nasional gunung tngc memiliki luas total hektare nama gunung berasal cereme phylanthus acidus sejenis tumbuhan perdu berbuah rada masam seringkali gejala hiperkorek akibat banyaknya nama wilayah pasundan mengunakan awalan ci penaman', 'gunung gunung sapto argo kompleks gunung berapi terletak selatan jakarta pulau jawa kawasan rangkaian gunung wilayah kabupaten sukabumi kabupaten bogor jawa barat pengelolan kawasan hutanya perum perhutani kesatuan pemangkuan hutan kph bogor wilayah perluasan taman nasional gunung halimun dikelola taman nasional gunung halimunsalak gunung berusia relatif tua sehinga memiliki puncak geoposisi puncak tertingi gunung ls bt dinamakan puncak ketingian puncak permukan laut dpl nama tanaman sesunguhnya berasal bahasa sanskerta salaka perak gunung gunung api strato tipe puncak tertingi puncak hartman puncak berusia tertua puncak berketingian dpl diangap tertua muncul puncak sumbul ketingian dpl kawah aktif puncak kawah terbesar kawah ratu kawah termuda kawah cikuluwung putri kawah hirup sistem kawah ratu semenjak tercatat kali letusan rangkaian letusan letusan erupsi freatik kawah cikuluwung putri catatan pvmbg erupsi terbesar bersifat erupsi magmatis bersifat merusak catatan korban morfologi gunung memiliki jurang curam tubuh gunung puncak tertutup hutan lebat kontur gunung mudah kali menipu pendaki penerbang melewati kawasan pegunungan', 'gunung memiliki kawah ganda kawah barat beradius terpotong kawah timur beradius ketingian dpl lereng selatan bekas titik letusan dinamakan gowa walet ceremai kawasan taman nasional gunung tngc memiliki luas total hektare administratif wilayah kabupaten kabupaten kuningan kabupaten majalengka provinsi jawa barat posisi geografis puncaknya terletak ls bt ketingian permukan laut gunung gunung tertingi jawa barat']"
5,96,5_hutan_mati_matinya_forest,"['hutan', 'mati', 'matinya', 'forest', 'lumut', 'dead', 'hutanya', 'lembab', 'vegetasi', 'babi']","['hutan mati pemandanganya indah', 'hutan mati keren banget', 'hutan mati keren']"
6,88,6_keluarga_family_liburan_cocok,"['keluarga', 'family', 'liburan', 'cocok', 'rekreasi', 'bareng', 'wisata', 'kemping', 'bokap', 'kerabat']","['cocok pendaki pemula keluarga', 'bagus keluarga', 'cocok keluarga']"
7,84,7_bersih_kebersihanya_kebersihan_jaga,"['bersih', 'kebersihanya', 'kebersihan', 'jaga', 'polusi', 'tempatnya', 'clean', 'sampah', 'pelayanan', 'nyaman']","['tempatnya bersih nyaman', 'bersih pemandangan bagus', 'bersih tempatnya']"
8,80,8_menyenangkan_lezat_memuaskan_suka,"['menyenangkan', 'lezat', 'memuaskan', 'suka', 'bahagia', 'menyenagkan', 'kenikmatan', 'makananya', 'welcome', 'refreshing']","['menyenangkan', 'menyenangkan', 'menyenangkan']"
9,75,9_place_beautiful_places_nice,"['place', 'beautiful', 'places', 'nice', 'great', 'wonderful', 'best', 'relax', 'visit', 'amazing']","['beautiful place', 'beautiful place', 'beautiful place']"
10,74,10_bagus_banget_masyalah_fasilitasnya,"['bagus', 'banget', 'masyalah', 'fasilitasnya', 'baguspuncaknya', 'asrikearipan', 'ceban', 'danganya', 'baguskren', 'belo']","['bagus jalur bagus', 'bagus banget', 'bagus banget']"
11,73,11_kesini_pengen_kesana_bosen,"['kesini', 'pengen', 'kesana', 'bosen', 'pingin', 'rindu', 'kangen', 'gadisku', 'enji', 'darang']","['pengen kesini', 'kesini', 'kesini']"
12,73,12_jalurnya_tracknya_mantap_manatap,"['jalurnya', 'tracknya', 'mantap', 'manatap', 'jalur', 'nama', 'dicoba', 'bos', 'mantul', 'gara']","['jalurnya mantap', 'jalurnya mantap', 'jalurnya mantap']"
13,68,13_sejuk_dingin_hawanya_rindang,"['sejuk', 'dingin', 'hawanya', 'rindang', 'asik', 'asri', 'menghangatkan', 'pemanasan', 'bnr', 'dinginya']","['sejuk asri banget', 'dingin dingin seru', 'lezat hawanya sejuk dingin']"
14,68,14_mountain_beautiful_indah_gunungnya,"['mountain', 'beautiful', 'indah', 'gunungnya', 'indahnya', 'gunung', 'dijawabarat', 'memberikn', 'indahdilihat', 'dikampungku']","['beautiful mountain', 'beautiful mountain', 'beautiful mountain']"
15,65,15_air_sumber_airnya_mata,"['air', 'sumber', 'airnya', 'mata', 'terjunya', 'terjun', 'konsumsi', 'luas', 'hemat', 'cibereum']","['nyaman ngecamp sumber mata air', 'luas tempatnya sumber airnya', 'luas sumber air']"
16,64,16_camping_camp_place_nice,"['camping', 'camp', 'place', 'nice', 'ceria', 'site', 'hiking', 'terbaik', 'great', 'bumper']","['camping bagus', 'bagus camping', 'nice place hiking camping']"
17,63,17_foto_spot_photo_instagramable,"['foto', 'spot', 'photo', 'instagramable', 'prewed', 'fotonya', 'bagus', 'fotografi', 'keren', 'papadayan']","['bagus foto', 'spot foto bagus', 'spot foto bagus']"
18,62,18_nyaman_tenang_menenangkan_santai,"['nyaman', 'tenang', 'menenangkan', 'santai', 'aman', 'melepas', 'rasakan', 'jona', 'guidenya', 'bimbang']","['nyaman seru tenang', 'bagus indah nyaman', 'nyaman bagus']"
19,62,19_pengalaman_experience_petualangan_amazing,"['pengalaman', 'experience', 'petualangan', 'amazing', 'berharga', 'great', 'adventure', 'experiences', 'sia', 'seru']","['pengalaman mdpl', 'keren pemandangan pengalaman', 'pengalaman indah']"
20,55,20_toilet_bersih_mushola_toiletnya,"['toilet', 'bersih', 'mushola', 'toiletnya', 'mandinya', 'kamar', 'fasilitas', 'warung', 'musholah', 'air']","['pendakian bagus menyenangkan jalur bagus fasilitas toilet mushola', 'nyaman mushola toilet', 'bagus mushola toilet warung air']"
21,55,21_recomended_rekomendasi_recomend_rekomended,"['recomended', 'rekomendasi', 'recomend', 'rekomended', 'direkomendasikan', 'pemula', 'highly', 'artventure', 'alamsalam', 'mantapsalah']","['recomended', 'recomended pemula', 'recomended pemula']"
22,55,22_pos_menit_jam_mobil,"['pos', 'menit', 'jam', 'mobil', 'ribu', 'parkir', 'motor', 'basecamp', 'jalan', 'bc']","['alhamdulilah mantab staf ranger ramah gercep posisi tol ktp diambil langsung contact pos bc kang heru alhamdulilah dikirim via paket terima kasih staf pengelola bc tapak geurot sekilas perjalanan hiking gunung base camp jam ojek pos air pos idr k pos air pos jalan santai menit jam istirahat menit gas pos pos menit pos istirahat menit gas pos pos perang batin menyerah keluarga semangat memuncak pos jam maklum bawa bocil genap jalan menit istirahat menit langsung mendirikan tenda ngecamp pos pas malam suhunya dingin berkisar derajat istirahat besok paginya jam sumit bonus landainya ya gas nanjak ampun pos pos kurleb menit jalan santai banget saingan keong pos pos kurleb menit gas pos pos menit istirahat makan benerin baut dengkul mlocot pos puncak kurleb menit puncak pas jam kurleb jam menit perjuangan extra puncak jos', 'mingu juni pendakian gunung via tapak gerot pembagian form pendaftaran bsa diambl diloket jam set petugas stand penyerahan sndiri loket buka jam pagi htm korg parkir mbl kunjungan drumah wrga pendakian dmulai pagi penyerahan form beserta pengecekan lumayan antre petugas dn wrga skitar sgt koperatif ramah super informatif membantu pendaki bru k ckuray estimasi bc k pos ojeg menit pakai ojeg bsa bayar k prjalanan skitar menit pos shelter warung jga mushola air kurg memadai bwa sndiri pakai botol trek jln beraspal menanjak pos pos skitar kurglebih trek sudh dominasi tanah merah menanjak tipis asik pos pos jam tanjakan tersedia tambang diseblah knan rute bsa mudahkan ktika jalanan licin sbelum pos camp area wrung bwa uang tunai sih jajan mbantu perekonomian wrg skitar camp area trdpat sumber air mushola check point ya airnya bsa lgsg mnum super segar lezat lgsg sumbernya camp area pos menit trek tanah merah dbantu tali tambang dpasang bc tanga kayu tanga tanah dbuat tapak gerot pos trek trpanjang terlama skitar jam trek tanga tanah merah akar smua lengkap disetiap pos shelter khawtir berteduh hujan atw skedar istrht pos puncak skitar menit didominasi bebatuan pncak smakin dpuncak tersedia wrung khas cikury adl cuankinya hrga kporsi lezat lumayan dtrek bersih bnyak dtmukan sampah trimksih bnyak bgi pra pendaki sadar kawasan dn bertangung jwab bgtupun bc luarbisasa merawat rute via tapak gerot super nyaman sih lezat pijakan rute lebar khawtir jatuh hrs tep waspada ya ktika dktingian takut jurang dtutupi rmbunya pohon kcil pendakian gunung via tapak gerot super puas sih menyenangkan', 'mendaki musim hujan puas november tangal rabu jalur tapak geurot dibanding jalur pemancar jalur tapak geurot populer berangkat cileunyi pagi sarapan belanja jam base camp tapak geurot registrasi packing ransel biaya tiket murah ribu orang bawa mobil dikenakan biaya parkir ribu base camp briefing singkat ktp dititipkan base camp pendakian oya menyerahkan surat keterangan sehat sertifikat vaksin base camp lainya jalan jam siang melewati jalan desa gerbang pendakian pos camping ground jalur pendakian base camp disarankan camping pos camping ground luas sumber air sehinga bawa air kemasan pos perjalanan pos jalur pendakian melewati kebunkebun warga wajar berpapasan petanipetani khusus pos warung dikelola warga istirahat makan minum warung istimewanya warung mck pancuran air pos warung harihari wekday warung pos tutup kesokan harinya jam perjalanan sumit langit cerah bintangbintang pos berhenti persiapan sholat subuh subuh masuk jam berwudhu sholat subuh berjamah salah teman mengumandangkan azan subuh kegelapan rimba sholat subuh siapsiap melanjutkan perjalanan pos dapati cahaya matahari pagi meremang pos dapati jam pos betulbetul bersyukur pos senyaman luap ngecamp senyaman pos pos bergerak puncak menit puncak sinar matahari lembut menyinari jalur puncak langit bersih awan menghalangi matahari puncak gunung satusatunya rombongan pendaki rombongan aumit pagi mendaki jalur viral puncak mendapati gerobak jualan siomay porsi harga ribu rupiah gorengan sepotongnya ribu rupiah jam istirahat menikmati ketingian mdpl turun turun diringi pemandangan lautan awan puncak pendakian melulu perjalanan puncak perjalanan turun selamat rumah pulang jalur tapak geurot jalur jalur pemancar kiara jangut semoga']"
23,54,23_indah_terindah__,"['indah', 'terindah', '', '', '', '', '', '', '', '']","['indah', 'indah', 'indah']"
24,53,24_ngangenin_ketagihan_prubahan_kembangkan,"['ngangenin', 'ketagihan', 'prubahan', 'kembangkan', 'hemukan', 'ygku', 'kampungku', 'penungu', 'pelayanya', 'romantis']","['ngangenin', 'ngangenin', 'ngangenin']"
25,53,25_ciptan_tuhan_ciptanmu_alah,"['ciptan', 'tuhan', 'ciptanmu', 'alah', 'kuasa', 'sang', 'sunguh', 'subhanalah', 'maha', 'indahnya']","['ciptan tuhan', 'indah ciptan tuhan', 'sunguh ciptan tuhan']"
26,52,26_indah_pemandanganya_sunguh_pemandangan,"['indah', 'pemandanganya', 'sunguh', 'pemandangan', 'icon', 'bnget', 'masya', 'city', 'banget', 'pandang']","['pemandanganya indah banget', 'pemandanganya indah banget', 'indah banget pemandanganya']"
27,52,27_barat_tertingi_jawa_atap,"['barat', 'tertingi', 'jawa', 'atap', 'gunung', 'tingi', 'rekomendasikan', 'pendakian', 'datanf', 'mdpl']","['mendaki gunung puncak tertingi jawa barat rekomendasikan jalur apuy majalengka', 'pendakian gunung via apuy mantap seru gunung gunung tertingi jawa barat', 'mendaki gunung menantang seru gunung tertingi jawa barat']"
28,52,28_tiket_mahal_tiketnya_masuk,"['tiket', 'mahal', 'tiketnya', 'masuk', 'harga', 'ticket', 'murah', 'kemahalan', 'terawat', 'lumayan']","['lokasi rapih terawat bersih tiket masuk mahal', 'tempatnya keren harga tiket masuknya lumayan mahal', 'tempatnya bagus camping tiket masuk mahal']"
29,52,29_wisata_alam_alamnya_dulunya,"['wisata', 'alam', 'alamnya', 'dulunya', 'liburan', 'alami', 'pecinta', 'prepare', 'sejuta', 'garut']","['wisata alam indah salah hiking bagus', 'hiking wisata alam cocok pemula', 'wisata alam bagus']"
